POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
340, 28, 38.3156, 0, 138, 126, 26, 112, 24
341, 30, 38.7592, 0, 138, 126, 27, 112, 26
342, 30, 84.9708, 0.77401, 138, 127, 26, 112, 25
343, 30, 78.9496, 0, 138, 127, 27, 112, 25
344, 29, 75.8289, 0, 138, 126, 26, 112, 25
345, 30, 34.7071, 0.38244, 138, 126, 26, 112, 25
346, 29, 30.7236, 0, 138, 126, 26, 112, 25
347, 30, 29.5287, 0, 138, 126, 26, 112, 24
348, 29, 29.36, 0, 138, 126, 26, 112, 24
349, 29, 31.2171, 0, 138, 126, 26, 112, 24
350, 29, 25.1001, 0, 138, 126, 26, 112, 24
351, 29, 26.6207, 0, 138, 126, 26, 112, 24
352, 27, 28.6186, 0, 138, 126, 25, 112, 23
353, 29, 21.1077, 0, 138, 126, 26, 112, 24
354, 29, 27.7391, 0, 138, 126, 26, 112, 24
355, 30, 28.9096, 0, 138, 126, 27, 112, 25
356, 28, 32.1501, 0, 138, 126, 26, 112, 24
357, 30, 30.3656, 0, 138, 126, 27, 112, 25
358, 29, 34.1207, 0, 138, 126, 27, 112, 24
359, 30, 28.1036, 0, 138, 126, 27, 112, 25
360, 27, 35.5202, 0, 138, 126, 23, 112, 21
361, 28, 25.4887, 0, 138, 126, 25, 112, 23
362, 29, 25.3571, 0, 138, 126, 25, 111, 23
363, 29, 26.7877, 0, 138, 126, 25, 111, 23
364, 29, 26.1044, 0, 138, 126, 25, 111, 23
365, 29, 26.326, 0, 138, 126, 25, 112, 23
366, 29, 22.3616, 0, 138, 125, 26, 112, 23
367, 29, 22.069, 0, 138, 126, 26, 112, 23
368, 29, 25.1957, 0, 138, 126, 26, 112, 24
369, 29, 25.516, 0, 138, 126, 26, 112, 23
370, 29, 25.1904, 0, 138, 126, 26, 112, 24
371, 29, 25.3466, 0, 138, 126, 26, 112, 23
372, 29, 22.4601, 0, 138, 126, 26, 112, 23
373, 29, 23.7625, 0, 138, 126, 26, 112, 24
374, 29, 26.5581, 0, 138, 126, 26, 112, 23
375, 29, 27.9912, 0, 138, 125, 26, 112, 24
376, 29, 27.4477, 0, 138, 125, 26, 112, 23
377, 30, 24.3303, 0, 138, 125, 27, 112, 24
378, 30, 30.7563, 0, 138, 125, 27, 112, 24
379, 31, 29.2526, 0, 138, 125, 28, 112, 25
380, 29, 36.0268, 0, 138, 125, 27, 112, 24
381, 31, 31.3818, 0, 138, 125, 28, 112, 25
382, 30, 38.038, 0, 138, 125, 27, 112, 25
383, 31, 33.2378, 0, 138, 125, 28, 112, 26
384, 27, 42.6776, 0, 138, 125, 24, 112, 21
385, 28, 34.3, 0, 138, 125, 26, 112, 23
386, 28, 28.676, 0, 138, 125, 26, 112, 23
387, 29, 27.5197, 0, 138, 125, 26, 112, 23
388, 29, 28.3669, 0, 138, 125, 27, 112, 24
389, 29, 25.5265, 0, 138, 125, 26, 112, 24
390, 29, 23.8442, 0, 138, 125, 27, 112, 24
391, 29, 28.3011, 0, 138, 125, 26, 112, 24
392, 29, 28.9733, 0, 138, 125, 27, 112, 24
393, 29, 26.1454, 0, 138, 125, 26, 112, 24
394, 29, 27.9286, 0, 138, 125, 26, 112, 24
395, 29, 28.8141, 0, 138, 125, 26, 112, 24
396, 29, 24.9736, 0, 138, 125, 26, 112, 24
397, 29, 23.176, 0, 138, 125, 26, 112, 23
398, 29, 25.9126, 0, 138, 125, 26, 112, 24
399, 29, 27.3629, 0, 138, 125, 26, 112, 23
400, 28, 25.2586, 0, 138, 125, 25, 112, 23
401, 29, 24.2444, 0, 138, 125, 27, 112, 24
402, 29, 26.5913, 0, 138, 125, 26, 112, 24
403, 29, 26.2571, 0, 138, 125, 27, 112, 24
404, 29, 28.5042, 0, 138, 125, 27, 112, 24
405, 30, 28.6509, 0, 138, 125, 28, 112, 25
406, 29, 28.8165, 0, 138, 125, 27, 112, 24
407, 31, 23.1025, 0, 138, 125, 28, 112, 25
408, 28, 33.6004, 0, 138, 124, 25, 112, 22
409, 30, 25.9668, 0, 138, 125, 27, 112, 24
410, 30, 28.4783, 0, 138, 124, 27, 112, 24
411, 30, 25.2202, 0, 138, 124, 27, 112, 24
412, 30, 27.9709, 0, 138, 124, 27, 112, 24
413, 30, 27.2015, 0, 138, 124, 27, 112, 25
414, 30, 29.6429, 0, 138, 124, 27, 112, 25
415, 30, 30.7104, 0, 138, 124, 27, 112, 25
416, 30, 31.4631, 0, 138, 124, 27, 112, 24
417, 30, 32.2561, 0, 138, 124, 27, 112, 24
418, 30, 28.5689, 0, 138, 124, 27, 112, 24
419, 30, 29.573, 0, 138, 124, 27, 112, 25
420, 30, 26.6404, 0, 138, 124, 28, 112, 25
421, 30, 61.6835, 1.12611, 138, 124, 28, 112, 25
422, 30, 29.3166, 0.486354, 138, 124, 28, 112, 25
423, 30, 26.9234, 0, 138, 124, 28, 112, 25
424, 29, 24.6717, 0, 138, 124, 27, 112, 24
425, 30, 22.3864, 0, 138, 124, 28, 112, 25
426, 30, 25.2443, 0, 138, 124, 28, 112, 25
427, 30, 24.4453, 0, 138, 124, 28, 112, 26
428, 30, 26.8969, 0, 138, 124, 28, 112, 25
429, 31, 27.9487, 0, 138, 124, 28, 112, 25
430, 30, 29.0441, 0, 138, 124, 28, 112, 25
431, 31, 41.7726, 0, 138, 124, 28, 113, 25
432, 27, 57.9132, 0, 138, 124, 24, 113, 21
433, 29, 39.0087, 0, 139, 124, 27, 112, 24
434, 29, 31.9942, 0, 139, 124, 27, 112, 24
435, 30, 55.8458, 0, 138, 124, 28, 113, 25
436, 30, 34.0187, 0, 138, 124, 28, 113, 24
437, 30, 38.4202, 0, 139, 124, 28, 113, 25
438, 30, 34.8189, 0, 139, 124, 28, 113, 24
439, 30, 52.2672, 0, 139, 124, 28, 113, 24
440, 28, 94.6534, 0.573974, 141, 125, 26, 113, 23
441, 28, 78.3784, 0, 142, 125, 26, 113, 23
442, 27, 70.857, 0, 143, 125, 25, 113, 22
443, 27, 27.005, 0.381049, 143, 125, 25, 113, 22
444, 27, 33.0233, 0, 142, 125, 25, 113, 22
445, 27, 24.872, 0, 142, 125, 25, 113, 22
446, 27, 20.1868, 0, 142, 125, 25, 113, 22
447, 27, 18.9194, 0, 142, 125, 25, 113, 22
448, 27, 25.1021, 0, 142, 125, 25, 113, 22
449, 28, 20.5801, 0, 142, 125, 26, 113, 22
450, 28, 23.9089, 0, 142, 125, 26, 113, 22
451, 28, 23.6741, 0, 142, 125, 26, 113, 23
