ScenarioID,Device,OS,Content,Codec,ServedBitrate,SegmentLength,FrameRate,PlayerName,GPU,NICType,Bandwidth,Metric
12c71be3a22743cc88472aeb88c6369c,laptop,windows-10,Lifting_Off,x265,2,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
5a8cec2f602f4908a1907e250e5dddeb,laptop,windows-10,Lifting_Off,x265,3,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
1fbebe3b38ae44f88b266eed8bc019fb,laptop,windows-10,Lifting_Off,x265,4,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
b70c195630a34d16b67d382400f48ec9,laptop,windows-10,Lifting_Off,x265,5,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
4c31239a22794c6e8c55bb49dbec8a09,laptop,windows-10,Lifting_Off,x265,6,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
96eed410b2974ef4b7c631098d2cc9b9,laptop,windows-10,Lifting_Off,x265,7,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
74dc3023bc754d70bfb67225da254d01,laptop,windows-10,Lifting_Off,x265,8,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
3d478cbb04e04245a9a54ea9ddc84999,laptop,windows-10,Lifting_Off,x265,9,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
7f4146bf3d5f4bbdab59761c39069c49,laptop,windows-10,Lifting_Off,x265,10,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
cebd06e73f3c4510afbcac55f61127dc,laptop,windows-10,Lifting_Off,x265,11,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
64a6c4b5b6f148828f818cb2c65adfe9,laptop,windows-10,Lifting_Off,x265,12,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
02d6f00bef2d4ae4a4adf88777f2aa7f,laptop,windows-10,Lifting_Off,x265,1,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
f9c6472ebc0d4824bdea6c225662b27a,laptop,windows-10,Lifting_Off,x265,2,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
ecc3557fd4cc4c5c9f89e85d1a6837a5,laptop,windows-10,Lifting_Off,x265,3,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
980d441dbd9a4798995c6eb61b03c785,laptop,windows-10,Lifting_Off,x265,4,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
0f185b7b43044c0d9a46195b72d46a27,laptop,windows-10,Lifting_Off,x265,5,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
b433d2d2340443c2a5d8ed4a4ba95473,laptop,windows-10,Lifting_Off,x265,6,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
121c56e788ec46f2a193d0782f2e1325,laptop,windows-10,Lifting_Off,x265,7,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
76e7a899aea94945abfeea6570d71e9b,laptop,windows-10,Lifting_Off,x265,8,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
087957c1f762489c9426e27e94ed6518,laptop,windows-10,Lifting_Off,x265,9,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
e5205e2281e94b139db8ea4f19f0a503,laptop,windows-10,Lifting_Off,x265,10,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
fad6a960c2f24863b6af6a18eae7bc67,laptop,windows-10,Lifting_Off,x265,11,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
f16ca01cd38c40868ba019a06b567c58,laptop,windows-10,Lifting_Off,x265,12,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
ee7f2e6ecdb447a080eb38a62e10ed48,laptop,windows-10,Lifting_Off,x265,1,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
d3dd4ce4b6a24745b1122070ef9d4587,laptop,windows-10,Lifting_Off,x265,2,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
8a9baa7ada924e54bc3515da0da484aa,laptop,windows-10,Lifting_Off,x265,3,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
d6c220818fb14ffca71af50ebed097e9,laptop,windows-10,Lifting_Off,x265,4,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
ff3e9d995925433bb01a50e796d6f9a6,laptop,windows-10,Lifting_Off,x265,5,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
cc8449ec9ee544f58b64fb532f957e54,laptop,windows-10,Lifting_Off,x265,6,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
c0b968276c41414093e4bb5a1e5d6b66,laptop,windows-10,Lifting_Off,x265,7,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
4f5d155dad164d6398e78fd9059a8c69,laptop,windows-10,Lifting_Off,x265,8,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
0483101c5f644cfe899a72b7a2dc6ad7,laptop,windows-10,Lifting_Off,x265,9,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
c333b2ad32374ee19ab5aca6d673e252,laptop,windows-10,Lifting_Off,x265,10,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
d3e3ec5c8a164f30898f5c406214d141,laptop,windows-10,Lifting_Off,x265,11,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
bf28947d5a6e4202b0205352bd6d4ab1,laptop,windows-10,Lifting_Off,x265,12,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
9668a7aff8db4581810eae23a8efc6f1,laptop,windows-10,Lifting_Off,x265,1,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
